Date,Open,High,Low,Close,Adj Close,Volume,Dollar
04-08-2008,233.185959,235.621826,230.08757,230.635529,230.635529,4992644,43.51
05-08-2008,232.921951,239.143631,232.294312,239.029053,239.029053,7195871,43.51
06-08-2008,238.291824,243.970535,235.372772,242.261948,242.261948,6776907,43.51
07-08-2008,240.100052,241.096313,237.315475,238.665421,238.665421,5568394,43.51
08-08-2008,239.178497,246.949371,236.956833,246.58075,246.58075,7506632,43.51
11-08-2008,245.315491,253.489853,244.971786,249.484863,249.484863,8510380,43.51
12-08-2008,250.062698,252.119995,248.070175,250.366562,250.366562,5532058,43.51
13-08-2008,249.863449,250.829834,246.017868,249.081375,249.081375,7278179,43.51
14-08-2008,247.920731,252.857224,247.218369,251.801193,251.801193,5859079,43.51
15-08-2008,252.548386,254.376541,251.806168,254.122482,254.122482,7117980,43.51
18-08-2008,253.968063,254.04776,246.829819,248.219604,248.219604,6692793,43.51
19-08-2008,244.299301,248.209656,242.406403,244.334183,244.334183,6115838,43.51
20-08-2008,246.436295,247.417618,240.383987,241.594452,241.594452,7994052,43.51
21-08-2008,240.558334,244.035294,238.740143,242.356583,242.356583,7054543,43.51
22-08-2008,244.832306,246.515991,243.82608,244.379013,244.379013,4611621,43.51
25-08-2008,242.147369,247.572037,239.850983,240.603165,240.603165,4043700,43.51
26-08-2008,240.827316,240.827316,234.416351,236.194687,236.194687,6641200,43.51
27-08-2008,235.980484,236.528427,231.552094,233.4151,233.4151,8807088,43.51
28-08-2008,235.362808,237.335403,234.286835,236.005402,236.005402,6082112,43.51
29-08-2008,233.997925,234.625565,230.301773,230.779984,230.779984,7725248,43.51
02-09-2008,237.494812,240.189713,229.848465,231.756317,231.756317,12268815,43.51
03-09-2008,233.489822,236.259445,228.9319,231.337891,231.337891,8661544,43.51
04-09-2008,229.141129,230.755066,223.860916,224.289307,224.289307,9733347,43.51
05-09-2008,221.913208,225.385208,219.218323,221.295532,221.295532,9102591,43.51
08-09-2008,225.166016,225.624298,207.995377,209.190903,209.190903,18103403,43.51
09-09-2008,210.794891,215.38269,206.725143,208.548309,208.548309,14513397,43.51
10-09-2008,211.442459,211.447449,204.075073,206.306717,206.306717,12500279,43.51
11-09-2008,203.412567,216.732635,202.431244,216.06514,216.06514,12991313,43.51
12-09-2008,214.301743,220.169754,213.699005,218.012833,218.012833,12101189,43.51
15-09-2008,211.208344,220.15979,211.063889,216.119934,216.119934,13184032,43.51
16-09-2008,212.184677,223.801132,211.950562,220.638,220.638,14033806,43.51
17-09-2008,218.42131,218.750076,205.948059,206.4711,206.4711,18322220,43.51
18-09-2008,210.530884,218.769989,204.483551,218.720184,218.720184,17243190,43.51
19-09-2008,229.639252,230.172256,220.812347,223.736374,223.736374,20087010,43.51
22-09-2008,226.217087,226.217087,213.699005,214.266876,214.266876,8847639,43.51
23-09-2008,215.816071,219.571991,212.065125,213.833496,213.833496,10447413,43.51
24-09-2008,214.366501,221.669128,214.251938,216.742599,216.742599,8515800,43.51
25-09-2008,218.600632,224.15979,217.175964,218.979218,218.979218,10078235,43.51
26-09-2008,213.200867,217.763763,209.728882,214.715195,214.715195,10624675,43.51
29-09-2008,208.971725,210.964249,189.644165,189.78862,189.78862,21606484,43.51
30-09-2008,197.250656,211.746323,195.42749,199.512177,199.512177,6195736,43.51
01-10-2008,204.807327,207.711441,200.797363,205.091263,205.091263,12516339,43.51
02-10-2008,204.129868,204.224518,192.279297,194.5159,194.5159,12014666,43.51
03-10-2008,197.933105,205.479813,190.819763,192.73259,192.73259,16045719,43.51
06-10-2008,186.291733,187.292984,177.913132,184.911911,184.911911,22525315,43.51
07-10-2008,185.967941,186.789871,172.040146,172.358963,172.358963,22191669,43.51
08-10-2008,164.463547,178.824722,162.446106,168.423706,168.423706,23741457,43.51
09-10-2008,171.616745,173.634171,160.234406,163.875748,163.875748,16210534,43.51
